         82330516 function calls (76560663 primitive calls) in 439.952 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2500    0.028    0.000    0.271    0.000 krr_ase.py:278(__get_FVU_energy)
    58460    0.052    0.000    0.270    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.267    0.267 linsolve.py:1(<module>)
        1    0.000    0.000    0.262    0.262 py3k.py:4(<module>)
        1    0.000    0.000    0.259    0.259 polynomial.py:4(<module>)
        1    0.000    0.000    0.258    0.258 result.py:1(<module>)
        1    0.000    0.000    0.256    0.256 jsonio.py:1(<module>)
   172631    0.185    0.000    0.253    0.000 atoms.py:429(set_array)
        1    0.000    0.000    0.253    0.253 pdb.py:66(<module>)
    14481    0.109    0.000    0.245    0.000 bfgs.py:76(determine_step)
    14585    0.078    0.000    0.238    0.000 optimize.py:184(converged)
     5126    0.083    0.000    0.233    0.000 index_tricks.py:247(__getitem__)
     1032    0.079    0.000    0.233    0.000 dftb.py:278(read_charges)
      939    0.006    0.000    0.231    0.000 ulm.py:437(_read_data)
        1    0.000    0.000    0.227    0.227 iterative.py:1(<module>)
    42098    0.045    0.000    0.227    0.000 fromnumeric.py:138(reshape)
    21049    0.056    0.000    0.224    0.000 defmatrix.py:391(sum)
        1    0.000    0.000    0.224    0.224 basic.py:7(<module>)
     1032    0.095    0.000    0.222    0.000 dftb.py:256(read_forces)
        1    0.000    0.000    0.220    0.220 pathlib.py:1(<module>)
        1    0.000    0.000    0.219    0.219 bdf.py:1(<module>)
        1    0.000    0.000    0.216    0.216 main.py:1(<module>)
        1    0.000    0.000    0.209    0.209 context.py:1(<module>)
    33869    0.020    0.000    0.209    0.000 _methods.py:28(_amin)
    59179    0.081    0.000    0.203    0.000 linalg.py:106(_makearray)
   930545    0.202    0.000    0.202    0.000 {method 'items' of 'dict' objects}
     2064    0.133    0.000    0.200    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.195    0.195 formats.py:25(<module>)
    89121    0.075    0.000    0.194    0.000 iso8859_15.py:18(encode)
      934    0.019    0.000    0.191    0.000 trajectory.py:309(<listcomp>)
        1    0.000    0.000    0.188    0.188 __init__.py:97(<module>)
    55530    0.082    0.000    0.185    0.000 {built-in method builtins.any}
    22416    0.050    0.000    0.173    0.000 constraints.py:14(dict2constraint)
        1    0.000    0.000    0.173    0.173 misc.py:1(<module>)
        1    0.000    0.000    0.171    0.171 calculators.py:1(<module>)
        1    0.000    0.000    0.166    0.166 subprocess.py:42(<module>)
        1    0.000    0.000    0.166    0.166 hashlib.py:54(<module>)
   503038    0.165    0.000    0.165    0.000 atoms.py:1750(_get_positions)
    63147    0.036    0.000    0.165    0.000 defmatrix.py:1036(getT)
        1    0.000    0.000    0.162    0.162 compressed.py:1(<module>)
    14687    0.161    0.000    0.161    0.000 calculator.py:349(reset)
        1    0.000    0.000    0.161    0.161 _trustregion_krylov.py:1(<module>)
     2626    0.032    0.000    0.160    0.000 startgenerator2d.py:11(random_pos)
        1    0.000    0.000    0.159    0.159 _ode.py:39(<module>)
    97058    0.072    0.000    0.159    0.000 atoms.py:351(get_cell)
    17081    0.073    0.000    0.158    0.000 fromnumeric.py:2174(amax)
        1    0.000    0.000    0.156    0.156 traceback.py:1(<module>)
    55438    0.154    0.000    0.154    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.152    0.152 least_squares.py:1(<module>)
    24936    0.083    0.000    0.151    0.000 constraints.py:366(__init__)
    14704    0.093    0.000    0.151    0.000 trajectory.py:278(get_header_data)
    55482    0.035    0.000    0.151    0.000 atoms.py:811(get_number_of_atoms)
    14598    0.151    0.000    0.151    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.148    0.148 inspect.py:27(<module>)
        1    0.000    0.000    0.148    0.148 basic.py:5(<module>)
    57114    0.145    0.000    0.145    0.000 {method 'dot' of 'numpy.ndarray' objects}
    21049    0.013    0.000    0.144    0.000 defmatrix.py:314(__rmul__)
        1    0.000    0.000    0.140    0.140 matfuncs.py:5(<module>)
    38131    0.085    0.000    0.139    0.000 linalg.py:209(_assertNdSquareness)
   103253    0.137    0.000    0.137    0.000 {built-in method _codecs.charmap_encode}
    21049    0.137    0.000    0.137    0.000 utilities.py:46(<listcomp>)
        1    0.000    0.000    0.133    0.133 npyio.py:1(<module>)
    31630    0.074    0.000    0.133    0.000 atoms.py:563(set_masses)
    31636    0.086    0.000    0.130    0.000 atoms.py:286(set_cell)
        1    0.000    0.000    0.130    0.130 __init__.py:41(<module>)
     1873    0.007    0.000    0.129    0.000 decoder.py:334(decode)
    63147    0.060    0.000    0.128    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.128    0.128 reduction.py:10(<module>)
    12197    0.011    0.000    0.126    0.000 ulm.py:403(__getattr__)
        1    0.000    0.000    0.126    0.126 lsq_linear.py:1(<module>)
   363228    0.126    0.000    0.126    0.000 {method 'pop' of 'dict' objects}
    30420    0.058    0.000    0.123    0.000 ulm.py:88(align)
     5500    0.019    0.000    0.121    0.000 fromnumeric.py:2806(mean)
        1    0.000    0.000    0.121    0.121 __init__.py:88(<module>)
    45113    0.120    0.000    0.120    0.000 {method 'seek' of '_io.BufferedWriter' objects}
    56603    0.119    0.000    0.119    0.000 {built-in method numpy.core.multiarray.empty}
