nan {'sigma': 20, 'reg': 1e-07}
1.20813068607e-05 {'sigma': 20, 'reg': 1e-07}
0.115438867602 {'sigma': 20, 'reg': 1e-07}
0.231848657599 {'sigma': 20, 'reg': 1e-07}
0.13493760004 {'sigma': 20, 'reg': 1e-07}
0.00139605039124 {'sigma': 20, 'reg': 1e-07}
         9406140 function calls (9306530 primitive calls) in 16.929 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1183    0.004    0.000    0.058    0.000 backend_pdf.py:1425(pathOperations)
      208    0.000    0.000    0.057    0.000 _base.py:399(_grab_next_args)
      104    0.002    0.000    0.057    0.001 _base.py:354(_plot_args)
     1833    0.005    0.000    0.057    0.000 transforms.py:838(from_extents)
    14575    0.017    0.000    0.056    0.000 artist.py:74(_stale_axes_callback)
       15    0.000    0.000    0.056    0.004 six.py:91(__get__)
     1104    0.013    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       15    0.000    0.000    0.056    0.004 six.py:80(_import_module)
    12717    0.018    0.000    0.056    0.000 artist.py:634(set_figure)
      105    0.000    0.000    0.056    0.001 lines.py:1290(_draw_solid)
      200    0.002    0.000    0.056    0.000 offsetbox.py:830(get_extent)
    40221    0.032    0.000    0.055    0.000 six.py:586(iteritems)
        1    0.000    0.000    0.055    0.055 _subplots.py:1(<module>)
      173    0.002    0.000    0.054    0.000 _base.py:2242(autoscale_view)
   264302    0.054    0.000    0.054    0.000 {method 'pop' of 'dict' objects}
       84    0.001    0.000    0.054    0.001 backend_tkagg.py:741(_Button)
     1183    0.048    0.000    0.053    0.000 {built-in method matplotlib._path.convert_to_string}
     3216    0.004    0.000    0.053    0.000 backend_pdf.py:823(cvt)
      271    0.004    0.000    0.053    0.000 patches.py:87(__init__)
      882    0.002    0.000    0.053    0.000 axis.py:498(_get_text2_transform)
     3402    0.002    0.000    0.052    0.000 fromnumeric.py:2792(round_)
     1632    0.002    0.000    0.052    0.000 transforms.py:828(from_bounds)
    33618    0.044    0.000    0.051    0.000 blas.py:177(find_best_blas_type)
    26650    0.051    0.000    0.051    0.000 {built-in method numpy.core.multiarray.empty}
       12    0.000    0.000    0.051    0.004 backend_bases.py:315(draw_quad_mesh)
      882    0.004    0.000    0.051    0.000 _base.py:820(get_yaxis_text2_transform)
     3402    0.004    0.000    0.050    0.000 fromnumeric.py:2723(around)
